incident_id,timestamp,latitude,longitude,species,severity,municipality,source
INC001,2024-10-01T21:30:00,61.4978,23.761,deer,high,Tampere,manual
INC002,2024-10-02T06:15:00,60.1699,24.9384,moose,medium,Helsinki,manual
INC003,2024-10-03T23:10:00,61.9241,25.7482,deer,high,Jyväskylä,manual
INC004,2024-10-04T18:45:00,65.0121,25.4651,fox,low,Oulu,manual
INC005,2024-10-05T05:50:00,62.2426,25.7473,moose,high,Jyväskylä,manual
INC006,2024-10-06T22:20:00,60.4518,22.2666,deer,medium,Turku,manual
INC007,2024-10-07T07:30:00,61.0587,28.1887,elk,high,Lappeenranta,manual
INC008,2024-10-08T20:10:00,62.8924,27.678,deer,medium,Kuopio,manual
INC009,2024-10-09T04:40:00,61.9241,25.7482,moose,high,Jyväskylä,manual
INC010,2024-10-10T19:25:00,65.0121,25.4651,fox,low,Oulu,manual
INC011,2024-10-11T22:55:00,60.1699,24.9384,deer,high,Helsinki,manual
INC012,2024-10-12T06:05:00,61.4978,23.761,moose,medium,Tampere,manual
INC013,2024-10-13T23:45:00,62.2426,25.7473,deer,high,Jyväskylä,manual
INC014,2024-10-14T17:30:00,60.4518,22.2666,fox,low,Turku,manual
INC015,2024-10-15T05:20:00,61.0587,28.1887,elk,high,Lappeenranta,manual
INC016,2024-10-16T21:40:00,62.8924,27.678,deer,medium,Kuopio,manual
INC017,2024-10-17T03:50:00,61.9241,25.7482,moose,high,Jyväskylä,manual
INC018,2024-10-18T18:10:00,65.0121,25.4651,fox,low,Oulu,manual
INC019,2024-10-19T22:15:00,60.1699,24.9384,deer,high,Helsinki,manual
INC020,2024-10-20T06:45:00,61.4978,23.761,moose,medium,Tampere,manual
