incident_id,timestamp,location,municipality,species,severity,source,operator,aircraft_type,phase_of_flight,time_of_day,height,speed,effect,sky,birds_seen,birds_struck,remarks,latitude,longitude,timestamp_weather,temperature,precipitation,wind_speed,visibility,condition,road_segment_id,speed_limit,road_type,curvature,lane_count,surface_type,hour,month,is_night,is_weekend,high_precipitation,high_risk_target
BIRD-000001,1990-09-30 22:00:00,IL,IL,UNKNOWN BIRD - MEDIUM,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-80,Descent,Night,7000.0,250.0,,No Cloud,,1,NO DAMAGE,,,,,,,,,,,,,,,22,9,1,1,0,0
BIRD-000002,1993-11-29 12:00:00,MD,MD,UNKNOWN BIRD - MEDIUM,medium,FAA_bird_strike_dataset,US AIRWAYS,FK-28-4000,Climb,Day,10.0,140.0,,No Cloud,10-Feb,10-Feb,"2 BIRDS, NO DAMAGE.",,,,,,,,,,,,,,,12,11,0,0,0,0
BIRD-000003,1993-08-13 12:00:00,TN,TN,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,B-727-200,Approach,Day,400.0,140.0,,Some Cloud,10-Feb,1,,,,,,,,,,,,,,,,12,8,0,0,0,0
BIRD-000004,1993-10-07 12:00:00,VA,VA,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-82,Climb,Day,100.0,200.0,,Overcast,,1,,,,,,,,,,,,,,,,12,10,0,0,0,0
BIRD-000005,1993-09-25 12:00:00,SC,SC,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-82,Climb,Day,50.0,170.0,,Some Cloud,10-Feb,1,NO DAMAGE,,,,,,,,,,,,,,,12,9,0,1,0,0
BIRD-000006,1993-09-20 12:00:00,FL,FL,HAWKS,low,FAA_bird_strike_dataset,GULFSTREAM INTL AIRLINES,BE-99,Landing Roll,Day,0.0,40.0,,Some Cloud,,1,FLT 714.  TIME = 1951Z,,,,,,,,,,,,,,,12,9,0,0,0,0
BIRD-000007,1993-08-30 22:00:00,NE,NE,UNKNOWN BIRD,low,FAA_bird_strike_dataset,NORTHWEST AIRLINES,DC-9,En Route,Night,4000.0,230.0,,Some Cloud,,1,15 MI NE OF OMAHA.  NO DAMAGE,,,,,,,,,,,,,,,22,8,1,0,0,0
BIRD-000008,1991-02-14 12:00:00,UNKNOWN,UNKNOWN,GULLS,medium,FAA_bird_strike_dataset,PETROLEUM HELICOPTERS,AEROS 350,Climb,Day,100.0,50.0,,No Cloud,10-Feb,10-Feb,"HIT A FLOCK, ASSUME 2-10.",,,,,,,,,,,,,,,12,2,0,0,0,0
BIRD-000009,1992-05-28 12:00:00,UT,UT,UNKNOWN BIRD - MEDIUM,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,B-727-200,Approach,Day,200.0,130.0,,No Cloud,,1,,,,,,,,,,,,,,,,12,5,0,0,0,0
BIRD-000010,1992-02-29 18:00:00,TX,TX,UNKNOWN BIRD,low,FAA_bird_strike_dataset,METROFLIGHT,BA-31 JETSTR,Approach,Dusk,3000.0,,,,,1,NO DAMAGE REPTD. TIME = 0042Z,,,,,,,,,,,,,,,18,2,0,1,0,0
BIRD-000011,1992-05-25 12:00:00,TN,TN,EUROPEAN STARLING,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-80,Approach,Day,200.0,150.0,,Overcast,10-Feb,1,NO DAMAGE,,,,,,,,,,,,,,,12,5,0,0,0,0
BIRD-000012,1992-08-19 12:00:00,AR,AR,BLACKBIRDS,low,FAA_bird_strike_dataset,METROFLIGHT,BA-31 JETSTR,Approach,Day,300.0,,,,,1,FLT 759 HIT BIRD OVER THRESHOLD OF RWY. FLT LANDED W/O INCIDENT.  NO REPTD DAMAGE. TIME = 1935Z.,,,,,,,,,,,,,,,12,8,0,0,0,0
BIRD-000013,1993-07-30 12:00:00,FL,FL,UNKNOWN BIRD,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,A-300,Climb,Day,300.0,,,Overcast,,1,,,,,,,,,,,,,,,,12,7,0,0,0,0
BIRD-000014,1993-08-02 12:00:00,FL,FL,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-82,Take-off run,Day,0.0,125.0,,Some Cloud,,1,,,,,,,,,,,,,,,,12,8,0,0,0,0
BIRD-000015,1992-05-10 22:00:00,GA,GA,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,B-727,,Night,,,,No Cloud,,1,FOUND BLOOD & FEATHERS ON POST FLT INSPN 5' FROM L WING ROOT ON  LE. NO DAMAGE.,,,,,,,,,,,,,,,22,5,1,1,0,0
BIRD-000016,1992-05-11 22:00:00,NY,NY,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,US AIRWAYS,B-737-200,Climb,Night,800.0,160.0,,No Cloud,,1,NO DAMAGE,,,,,,,,,,,,,,,22,5,1,0,0,0
BIRD-000017,1990-06-13 12:00:00,UNKNOWN,UNKNOWN,HAWKS,high,FAA_bird_strike_dataset,AIR VEGAS,C-402,En Route,Day,4500.0,155.0,Precautionary Landing,No Cloud,,1,"BIRD STRUCK BASE OF WINDSHIELD ON PILOT SIDE.  WINDSHLD BROKE  & BIRD HIT TOP OF INSTRUMENT PANEL.  ALTITUDE INDICATOR,  ALTIMETER, VSI AND RADIOS WERE DAMAGED.  NO INJURIES.",,,,,,,,,,,,,,,12,6,0,0,0,1
BIRD-000018,1990-08-05 22:00:00,ID,ID,DUCKS,low,FAA_bird_strike_dataset,BUSINESS,PA-24 COMANCHE,Approach,Night,1000.0,175.0,,No Cloud,,1,"JUST AFTER GEAR DOWN SOMETHING STRUCK THE PASSENGER SIDE OF  A/C. SINCE IT WAS DARK, WE LANDED AND THEN WITH A FLASH LIGHT  COULD SEE THAT A BIRD HAD STRUCK THE RIGHT FRONT OF FUSELAGE -  TEARING BOTH AIR VENTS OFF AND DAMAGING THE DOOR.",,,,,,,,,,,,,,,22,8,1,1,0,0
BIRD-000019,1991-05-07 18:00:00,NJ,NJ,TURKEY VULTURE,low,FAA_bird_strike_dataset,BUSINESS,DA-50 FALCON,Take-off run,Dusk,0.0,,,Some Cloud,,1,DAMAGE UNKNOWN -- PILOT ADVISED TOWER AFTER THE INCIDENT.,,,,,,,,,,,,,,,18,5,0,0,0,0
BIRD-000020,1990-08-03 12:00:00,AK,AK,GULLS,high,FAA_bird_strike_dataset,MARKAIR,B-737-200,Approach,Day,500.0,140.0,Other,No Cloud,,1,"GULL INGESTED IN RT ENG. COMPRESSOR STALLED ONCE, LANDED A/C &  SECURED ENG DURING ROLL OUT. NOTED FUEL FLOW FLUCTUATION AFTER  THE STRIKE. INSPN FOUND AT LEAST 7 DAMAGED FAN BLADES. (DATA  ENTRY NOTE: DATE OF STRIKE REPTD AS 3 AND 4TH)",,,,,,,,,,,,,,,12,8,0,0,0,1
BIRD-000021,1991-01-21 22:00:00,LA,LA,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNKNOWN,BE-58  BARON,Climb,Night,200.0,,,Some Cloud,,1,A/C DEPTD AFTER REPORTING BIRD STRIKE.  DID NOT VOLUNTEER ANY ADDITIONAL INFORMATION.,,,,,,,,,,,,,,,22,1,1,0,0,0
BIRD-000022,1993-07-30 22:00:00,MS,MS,UNKNOWN BIRD,low,FAA_bird_strike_dataset,ABX AIR (was AIRBORNE EXPRESS),DC-9-30,Landing Roll,Night,0.0,,,,,1,STRIKE JUST ABOVE F/O'S WINDOW. INSPCTN FOUND NO DAMAGE.,,,,,,,,,,,,,,,22,7,1,0,0,0
BIRD-000023,1991-07-12 06:00:00,VA,VA,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-82,Take-off run,Dawn,0.0,90.0,,Some Cloud,,1,REMARKS ON COMPANY PAPERWORK INDICATED BIRDS IN VICINITY.   NO DAMAGE.,,,,,,,,,,,,,,,6,7,0,0,0,0
BIRD-000024,1990-05-07 12:00:00,TX,TX,UNKNOWN BIRD - MEDIUM,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-80,Descent,Day,5500.0,240.0,,No Cloud,,1,JUST A DIRTY WINDSHLD. NO DAMAGE.,,,,,,,,,,,,,,,12,5,0,0,0,0
BIRD-000025,1994-07-22 12:00:00,UT,UT,UNKNOWN BIRD,low,FAA_bird_strike_dataset,DELTA AIR LINES,B-767,Landing Roll,Day,0.0,,,,,1,FLT 1424. DAMAGE TO A/C NOT REPTD.,,,,,,,,,,,,,,,12,7,0,0,0,0
BIRD-000026,1994-07-22 12:00:00,FL,FL,UNKNOWN BIRD - SMALL,medium,FAA_bird_strike_dataset,GULFSTREAM INTL AIRLINES,BE-99,Landing Roll,Day,0.0,,,Some Cloud,,10-Feb,FLT 408.  UNKNOWN AS TO WHAT PART STRUCK.,,,,,,,,,,,,,,,12,7,0,0,0,0
BIRD-000027,1993-10-20 12:00:00,PA,PA,MOURNING DOVE,medium,FAA_bird_strike_dataset,CROWN AIRWAYS,SHORTS 330,Take-off run,Day,0.0,90.0,,Some Cloud,10-Feb,10-Feb,,,,,,,,,,,,,,,,12,10,0,0,0,0
BIRD-000028,1990-07-12 12:00:00,CA,CA,ROCK PIGEON,low,FAA_bird_strike_dataset,PRIVATELY OWNED,PA-32,Approach,Day,20.0,85.0,,,,1,"NO DAMAGE, JUST BLOODIED WING.",,,,,,,,,,,,,,,12,7,0,0,0,0
BIRD-000029,1990-05-12 12:00:00,NE,NE,BLACKBIRDS,high,FAA_bird_strike_dataset,UNITED AIRLINES,B-727-200,Climb,Day,35.0,140.0,,Overcast,,11-100,"PILOT SAID THERE WAS NO DAMAGE, BIRDS HIT UNDER THE FUSELAGE A&  A/C VENT. FOG.",,,,,,,,,,,,,,,12,5,0,1,0,1
BIRD-000030,1990-05-13 12:00:00,TN,TN,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,B-727,Approach,Day,300.0,140.0,,Some Cloud,,1,NO DAMAGE NOTED BY FLT. CREW.  BIRD STRIKE NOTED IN A/C LOG BOOK.  SPARROW OR ROBIN.,,,,,,,,,,,,,,,12,5,0,1,0,0
BIRD-000031,1996-07-13 12:00:00,CA,CA,UNKNOWN BIRD,low,FAA_bird_strike_dataset,UNITED AIRLINES,B-737-500,Take-off run,,0.0,,,,,1,MX INSPECTED. NO DAMAGE. HIT CAPT'S WINDSHLD.,,,,,,,,,,,,,,,12,7,0,1,0,0
BIRD-000032,1992-11-30 12:00:00,TX,TX,RED-TAILED HAWK,high,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-82,Take-off run,Day,0.0,,Aborted Take-off,No Cloud,,1,"FLT 373,ABTD T/O DUE TO BIRD STRIKE (HAWK WITH A RABBIT, NO  SURVIVORS), & RETD TO THE GATE. NO RPTD DMG.",,,,,,,,,,,,,,,12,11,0,0,0,1
BIRD-000033,1991-03-25 18:00:00,NY,NY,GULLS,low,FAA_bird_strike_dataset,US AIRWAYS,B-737-200,Approach,Dusk,500.0,129.0,,Overcast,,1,INDENTATION AT POINT OF RADOME APPROX. 8 INCHES IN DIAMETER & 1.5  IN. DEEP.  BIRD PARTS STRUCK UNDERSIDE OF RT WING 10 IN. INBOARD  OF RT ENG PYLON JUST BEHIND LE FLAP.  BIRD PARTS ALSO STRUCK RT  MAIN GEAR STRUT & GEAR STRUT DOOR. TIME = 1840 LCL.,,,,,,,,,,,,,,,18,3,0,0,0,0
BIRD-000034,1990-11-14 12:00:00,TX,TX,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-80,Landing Roll,Day,0.0,130.0,,No Cloud,,1,APPEARED TO BE NO DAMAGE.,,,,,,,,,,,,,,,12,11,0,0,0,0
BIRD-000035,1993-07-12 12:00:00,TN,TN,UNKNOWN BIRD - MEDIUM,low,FAA_bird_strike_dataset,SIMMONS AVIATN,ATR-42,Approach,Day,400.0,,,Some Cloud,,1,ROBIN OR SPARROW. FLT 3546.,,,,,,,,,,,,,,,12,7,0,0,0,0
BIRD-000036,1991-04-22 22:00:00,NE,NE,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,AMERICAN AIRLINES,MD-80,Approach,Night,600.0,140.0,,No Cloud,,1,NO DAMAGE SUSPECTED OR OBSVD BY PILOTS. FLT 1453,,,,,,,,,,,,,,,22,4,1,0,0,0
BIRD-000037,1991-09-18 12:00:00,AK,AK,DUCKS,low,FAA_bird_strike_dataset,BUSINESS,C-207 SKYWAG,Descent,Day,100.0,80.0,,Overcast,11-100,1,NO DAMAGE.  THE BIRD STRUCK THE RIGHT WING. RAIN.,,,,,,,,,,,,,,,12,9,0,0,0,0
BIRD-000038,1991-09-10 12:00:00,OH,OH,EUROPEAN STARLING,high,FAA_bird_strike_dataset,AMERICAN AIRLINES,DC-9-80,Approach,Day,100.0,140.0,,No Cloud,,11-100,"TWR REPTD THAT PREVIOUSLY LANDING AIRCRAFT HAD SEEN A FLOCK  OF BIRDS IN THE VICINITY OF RWY 24R.  WE WERE AT 300 AGL ON FINAL  APPCH. AT 150'AGL BIRDS LIFTED OFF FROM RT SIDE OF APPCH END.  AT  100' WE HIT THE FLOCK OF BIRDS.  NOSE, WINDSHLD, NOSE GEAR RT  MAIN MOUNT, BOTH LEADING EDGES & FLAPS & LT ENG SHOW IMPACT.  NO  STRUCTURAL DAMAGE WAS FOUND.  LT LANDING LIGHT ON WING WAS  DAMAGED & REPLACED.",,,,,,,,,,,,,,,12,9,0,0,0,1
BIRD-000039,1990-06-14 12:00:00,FL,FL,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,CONTINENTAL AIRLINES,B-727,Approach,Day,400.0,138.0,,No Cloud,,1,NO DAMAGE FLT 490.,,,,,,,,,,,,,,,12,6,0,0,0,0
BIRD-000040,1991-09-27 18:00:00,OH,OH,SPARROWS,high,FAA_bird_strike_dataset,GOVERNMENT,HUGHES 269A,Take-off run,Dusk,0.0,20.0,Aborted Take-off,Some Cloud,,1,NO DAMAGE. TIME = 1810 LCL.,,,,,,,,,,,,,,,18,9,0,0,0,1
BIRD-000041,1991-09-27 12:00:00,FL,FL,UNKNOWN BIRD - SMALL,low,FAA_bird_strike_dataset,HENSON,DHC8 DASH 8,Approach,Day,75.0,,,Some Cloud,,1,FLT 4361.,,,,,,,,,,,,,,,12,9,0,0,0,0
