incident_id,timestamp,location,species,severity,source,temperature,precipitation,wind_speed,visibility,speed_limit,timestamp_weather,temperature_weather,precipitation_weather,wind_speed_weather,visibility_weather,condition,road_segment_id,speed_limit_road,road_type,curvature,lane_count,surface_type,hour,month,is_night,is_weekend,high_precipitation,high_risk_target
INC00001,2022-11-01 00:00:00,Tampere,Raccoon,low,sensor,4.7,0.3,5.3,8698,60,2026-04-01 06:00:00,3.2,1.5,12.4,5.0,rain,R001,80.0,highway,low,2.0,asphalt,0,11,1,0,0,0
INC00001,2022-11-01 00:00:00,Tampere,Raccoon,low,sensor,4.7,0.3,5.3,8698,60,2026-04-01 06:00:00,3.2,1.5,12.4,5.0,rain,R005,40.0,urban,low,1.0,asphalt,0,11,1,0,0,0
INC00001,2022-11-01 00:00:00,Tampere,Raccoon,low,sensor,4.7,0.3,5.3,8698,60,2026-04-01 09:00:00,5.1,0.0,10.1,10.0,cloudy,R001,80.0,highway,low,2.0,asphalt,0,11,1,0,0,0
INC00001,2022-11-01 00:00:00,Tampere,Raccoon,low,sensor,4.7,0.3,5.3,8698,60,2026-04-01 09:00:00,5.1,0.0,10.1,10.0,cloudy,R005,40.0,urban,low,1.0,asphalt,0,11,1,0,0,0
INC00002,2023-09-02 12:00:00,Oulu,Raccoon,medium,manual_upload,11.0,0.0,2.6,6687,100,,,,,,,,,,,,,12,9,0,1,0,0
INC00003,2022-08-26 09:00:00,Hyvinkää,Lynx,low,manual_upload,7.2,0.5,8.0,6930,50,,,,,,,,,,,,,9,8,0,0,0,0
INC00004,2022-09-13 20:00:00,Kuopio,Hare,low,gps_collar,5.8,0.9,2.4,9494,90,,,,,,,,,,,,,20,9,1,0,0,0
INC00005,2022-03-14 11:00:00,Uusikaupunki,Hare,medium,mobile_app,5.4,0.3,2.7,6499,100,,,,,,,,,,,,,11,3,0,0,0,0
INC00006,2025-02-19 13:00:00,Vaasa,Wolverine,low,gps_collar,-1.2,1.7,1.7,7596,70,,,,,,,,,,,,,13,2,0,0,1,0
INC00007,2022-01-18 17:00:00,Jyväskylä,Raccoon,low,camera_trap,-5.9,1.6,5.6,14946,70,,,,,,,,,,,,,17,1,0,0,1,0
INC00008,2024-01-29 18:00:00,Oulu,Hare,low,dashboard,-0.2,5.2,4.9,10204,70,,,,,,,,,,,,,18,1,0,0,1,0
